start_time,end_time,duration
2.170294784580499,6.931927437641724,4.761632653061225
7.13936507936508,8.812743764172337,1.6733786848072576
10.2740589569161,12.318956916099774,2.0448979591836736
25.877868480725624,28.24784580498866,2.3699773242630364
28.96612244897959,46.243310657596375,17.277188208616785
49.26036281179139,55.67061224489796,6.410249433106571
57.271247165532884,58.271247165532884,1.0
59.70934240362812,61.986439909297054,2.2770975056689338
65.1195918367347,66.1195918367347,1.0
66.65210884353742,67.67532879818594,1.0232199546485248
69.29918367346939,80.16766439909297,10.868480725623584
80.65374149659864,83.25591836734694,2.602176870748295
83.39369614512472,88.48040816326531,5.086712018140588
89.5237641723356,90.6166439909297,1.092879818594099
91.54390022675737,97.93092970521542,6.387029478458047
98.81174603174604,100.85664399092971,2.044897959183672
102.68947845804989,104.98979591836735,2.3003174603174585
105.1043537414966,110.2839455782313,5.179591836734701
110.51460317460318,133.24848072562358,22.7338775510204
133.71133786848074,134.73455782312925,1.0232199546485106
135.05809523809523,138.98380952380953,3.9257142857142924
139.60920634920635,146.69283446712018,7.0836281179138325
150.8012244897959,153.77492063492065,2.973696145124734
155.00403628117914,157.44367346938776,2.4396371882086214
157.58145124716555,170.65582766439908,13.074376417233537
171.1651247165533,172.86172335600907,1.6965986394557717
173.16204081632654,175.36947845804988,2.2074376417233452
176.11097505668934,178.48095238095237,2.369977324263033
178.6651700680272,200.07551020408164,21.41034013605443
201.56004535147392,219.76603174603176,18.20598639455784
219.92702947845805,234.09274376417233,14.165714285714273
234.4627210884354,249.39469387755102,14.931972789115633
249.83433106575964,252.041768707483,2.2074376417233452
252.36530612244897,254.6424036281179,2.2770975056689338
255.63931972789112,258.2879365079365,2.6486167800453586
259.958231292517,263.0015873015873,3.043356009070294
263.3947845804988,273.3344671201814,9.939682539682565
276.5140589569161,279.83605442176867,3.3219954648525913
280.2989115646258,284.5264852607709,4.2275736961451
288.58843537414964,291.7478911564626,3.159455782312932
292.5590476190476,297.2278004535147,4.668752834467114
297.388798185941,310.1148752834467,12.726077097505652
310.34553287981856,315.1768253968254,4.83129251700683
316.4059410430839,318.19541950113376,1.7894784580498708
319.51741496598635,321.2604535147392,1.7430385487528497
322.18770975056685,324.09328798185936,1.905578231292509
324.90444444444444,325.95088435374146,1.0464399092970211
326.43696145124716,333.7760090702948,7.339047619047619
334.1227664399093,336.7713832199546,2.6486167800453018
336.9091609977324,340.672335600907,3.7631746031746047
341.3441723356009,382.7933333333333,41.449160997732406
383.34907029478455,390.38625850340134,7.037188208616783
390.5008163265306,391.8491156462585,1.3482993197279143
392.4048526077097,394.82126984126984,2.4164172335601393
395.6556462585034,399.1634013605442,3.5077551020407896
399.39405895691607,400.81201814058954,1.4179591836734744
401.0194557823129,404.5968707482993,3.5774149659864065
404.7346485260771,405.8739682539682,1.1393197278911202
406.29038548752834,433.66825396825396,27.377868480725624
433.9685714285714,442.0506575963719,8.082086167800469
443.11723356009065,446.83396825396824,3.7167346938775836
447.5058049886621,449.59714285714284,2.091337868480764
452.79995464852607,454.6590929705215,1.859138321995431
