start_time,end_time,duration
2.007755102040816,8.696643990929706,6.68888888888889
16.752426303854875,18.704444444444444,1.9520181405895691
19.538820861678005,20.724580498866214,1.1857596371882089
23.950612244897957,25.41501133786848,1.464399092970524
31.079138321995465,32.288117913832195,1.20897959183673
32.3562358276644,37.53582766439909,5.179591836734694
37.55750566893424,43.10861678004535,5.551111111111112
60.823900226757374,62.056099773242636,1.232199546485262
64.21401360544218,65.42299319727891,1.2089795918367372
69.13664399092971,72.85337868480725,3.716734693877541
77.37972789115646,79.58716553287982,2.2074376417233594
79.9107029478458,81.21256235827664,1.3018594104308363
92.42625850340136,93.84421768707483,1.4179591836734744
93.95877551020408,95.09809523809524,1.1393197278911629
116.4124716553288,119.52548752834467,3.1130158730158684
151.33528344671203,152.47460317460317,1.1393197278911487
159.02108843537414,160.39260770975056,1.3715192743764248
178.479410430839,185.1682993197279,6.688888888888897
222.94562358276644,224.31714285714287,1.3715192743764248
253.5263038548753,254.66562358276644,1.1393197278911487
266.41337868480724,269.8050340136054,3.3916553287981515
288.44911564625846,290.49401360544215,2.044897959183686
299.3392743764172,302.4522902494331,3.113015873015854
302.82226757369614,304.124126984127,1.3018594104308363
320.95705215419497,322.398231292517,1.4411791383220134
329.6877551020408,331.57011337868477,1.88235827664397
338.00049886621315,339.11659863945573,1.1160997732425813
345.12902494331064,355.2080272108843,10.079002267573685
355.41546485260767,363.9155102040816,8.500045351473943
396.6076643990929,398.76866213151925,2.160997732426324
409.42507936507934,412.14335600907026,2.7182766439909187
413.53501133786847,422.70843537414964,9.173424036281176
423.3106122448979,429.46544217687074,6.154829931972813
442.1652154195011,443.30453514739224,1.1393197278911202
460.39287981859405,467.8944671201814,7.501587301587335
468.45020408163265,469.6591836734694,1.2089795918367372
469.88984126984127,474.1406349206349,4.250793650793639
483.5663945578231,484.70571428571424,1.1393197278911202
490.36984126984123,501.2615419501133,10.891700680272095
502.14235827664396,503.83895691609973,1.6965986394557717
504.44113378684807,507.5541496598639,3.113015873015854
546.6085714285714,554.0869387755101,7.4783673469387395
554.1086167800453,558.6148299319727,4.506213151927454
591.4695238095238,592.7713832199546,1.3018594104307795
614.6662585034013,616.5021768707483,1.8359183673469488
617.2436734693878,618.429433106576,1.1857596371881982
620.2390476190476,622.6786848072562,2.4396371882086214
623.257641723356,624.3969614512472,1.139319727891234
649.4033106575963,650.5890702947845,1.1857596371881982
650.7268480725623,652.1912471655329,1.4643990929705524
652.3986848072562,655.7671201814059,3.3684353741496125
662.2671655328797,663.406485260771,1.139319727891234
668.6990929705215,669.9312925170068,1.2321995464852762
715.6266213151927,716.7427210884354,1.116099773242695
